window_id,suffix,Ticker,Strategy,Weight
EqualWeight,252,AAPL,EqualWeight,0.2
EqualWeight,252,AMZN,EqualWeight,0.2
EqualWeight,252,GOOGL,EqualWeight,0.2
EqualWeight,252,MSFT,EqualWeight,0.2
EqualWeight,252,NVDA,EqualWeight,0.2
Markowitz,252,AAPL,Markowitz,0.24999999999999972
Markowitz,252,AMZN,Markowitz,0.24999999999999944
Markowitz,252,GOOGL,Markowitz,0.25
Markowitz,252,MSFT,Markowitz,0.0
Markowitz,252,NVDA,Markowitz,0.25
RandomForest,252,AAPL,RandomForest,0.24999999999999975
RandomForest,252,AMZN,RandomForest,0.24999999999999975
RandomForest,252,GOOGL,RandomForest,0.24999999999999997
RandomForest,252,MSFT,RandomForest,0.0
RandomForest,252,NVDA,RandomForest,0.25
XGBoost,252,AAPL,XGBoost,0.25
XGBoost,252,AMZN,XGBoost,0.24999999999999836
XGBoost,252,GOOGL,XGBoost,0.24999999999999967
XGBoost,252,MSFT,XGBoost,8.604228440844963e-16
XGBoost,252,NVDA,XGBoost,0.25
TabPFN,252,AAPL,TabPFN,1.27675647831893e-15
TabPFN,252,AMZN,TabPFN,0.25
TabPFN,252,GOOGL,TabPFN,0.24999999999999878
TabPFN,252,MSFT,TabPFN,0.24999999999999803
TabPFN,252,NVDA,TabPFN,0.25
EqualWeight,257,AAPL,EqualWeight,0.2
EqualWeight,257,AMZN,EqualWeight,0.2
EqualWeight,257,GOOGL,EqualWeight,0.2
EqualWeight,257,MSFT,EqualWeight,0.2
EqualWeight,257,NVDA,EqualWeight,0.2
Markowitz,257,AAPL,Markowitz,0.25
Markowitz,257,AMZN,Markowitz,0.25
Markowitz,257,GOOGL,Markowitz,0.2499999999999998
Markowitz,257,MSFT,Markowitz,0.25
Markowitz,257,NVDA,Markowitz,0.0
RandomForest,257,AAPL,RandomForest,0.24999999999999484
RandomForest,257,AMZN,RandomForest,0.2499999999999981
RandomForest,257,GOOGL,RandomForest,0.24999999999999553
